Major,Athletes,Non-Athletes,Total
Latin American Studies,2,2,4
Italian Studies,1,1,2
Performance Arts,1,1,2
Chemistry,4,5,9
Earth and Oceanographic Science,7,9,16
Economics,16,25,41
Biochemistry,6,10,16
Education,8,14,22
Neuroscience,8,15,23
Government and Legal Studies,32,62,94
Biology,8,16,24
Sociology,4,8,12
Environmental Studies,7,16,23
Computer Science,6,14,20
German,2,5,7
Mathematics,13,34,47
Other (Please Describe),3,8,11
Physics,4,12,16
Africana Studies,1,3,4
Music,1,3,4
Russian,1,3,4
Hispanic Studies,3,10,13
Philosophy,1,4,5
English,5,23,28
Francophone Studies,1,5,6
History,4,23,27
Undeclared,7,48,55
Psychology,2,14,16
Anthropology,0,2,2
Art History,0,10,10
Asian Studies,0,1,1
Classics,0,1,1
"Gender, Sexuality, and Women's Studies",0,6,6
Religion,0,2,2
Romance Languages and Literatures,0,6,6
Visual Arts,0,6,6
Total,109,303,412
