,Strongly Liberal,Liberal,Average,Conservative,Strongly Conservative,Total
Africana Studies,0,2,2,0,0,4
Anthropology,2,0,0,0,0,2
Art History,2,3,3,2,0,10
Asian Studies,0,1,0,0,0,1
Biochemistry,0,3,11,2,0,16
Biology,0,10,11,2,1,24
Chemistry,0,3,5,1,0,9
Classics,1,0,0,0,0,1
Computer Science,0,5,12,3,0,20
Earth and Oceanographic Science,0,7,6,2,1,16
Economics,0,8,16,10,7,41
English,3,8,11,6,0,28
Francophone Studies,1,2,2,1,0,6
Gender Sexuality and Womens Studies,3,3,0,0,0,6
German,0,0,4,2,1,7
Government and Legal Studies,10,19,39,19,7,94
Hispanic Studies,1,5,5,1,1,13
History,3,7,13,3,1,27
Italian Studies,0,0,2,0,0,2
Latin American Studies,1,1,1,1,0,4
Mathematics,1,9,23,11,2,46
Music,1,1,2,0,0,4
Neuroscience,0,6,11,6,0,23
Performance Arts,1,1,0,0,0,2
Philosophy,0,2,1,2,0,5
Physics,1,3,8,2,2,16
Psychology,1,7,6,2,0,16
Religion,0,0,2,0,0,2
Romance Languages and Literatures,0,2,2,2,0,6
Russian,0,1,1,2,0,4
Sociology,4,3,5,0,0,12
Visual Arts,1,1,2,1,1,6
Other (Please Describe),0,4,5,2,0,11
Undeclared,3,16,28,7,1,55
Environmental Studies,1,10,11,1,0,23
Education,4,4,11,3,0,22
Total,32,109,182,69,19,411
